year,month,day,decimalLatitude,decimalLongitude,individualCount
1856.0,1.0,1.0,38.82081,-96.33162,
1868.0,12.0,,41.30518,-105.58424,1.0
1868.0,12.0,,41.30518,-105.58424,1.0
1868.0,12.0,,41.30518,-105.58424,1.0
1868.0,12.0,,41.30518,-105.58424,1.0
1870.0,11.0,,38.9114,-101.5911,1.0
1870.0,,,38.887783,-101.131412,1.0
1870.0,,,38.9114,-101.5911,1.0
1871.0,6.0,,38.87918,-99.32677,1.0
1871.0,6.0,,38.87918,-99.32677,1.0
1871.0,6.0,,38.87918,-99.32677,1.0
1871.0,6.0,,38.87918,-99.32677,1.0
1871.0,6.0,,38.87918,-99.32677,1.0
1871.0,6.0,,38.87918,-99.32677,1.0
1871.0,6.0,,38.87918,-99.32677,1.0
1871.0,6.0,,38.87918,-99.32677,1.0
1871.0,6.0,,38.87918,-99.32677,1.0
1871.0,6.0,,38.87918,-99.32677,1.0
1871.0,6.0,,38.87918,-99.32677,1.0
1871.0,,,38.9114,-101.5911,1.0
1872.0,12.0,,39.387553,-105.676659,
1872.0,12.0,,39.387553,-105.676659,
1872.0,12.0,,39.387553,-105.676659,
1872.0,,,39.387553,-105.676659,
1872.0,,,39.387553,-105.676659,
1880.0,,,62.133333,-150.1,
1880.0,,,62.133333,-150.1,
1886.0,1.0,1.0,38.82081,-96.33162,
1886.0,10.0,15.0,47.29,-104.87,
1886.0,10.0,14.0,47.0198251,-109.8805857,
1886.0,11.0,18.0,47.0198251,-109.8805857,
1886.0,,,50.05,-110.683333,
1887.0,5.0,,43.65359,-97.7828,
1888.0,10.0,15.0,36.74402,-100.529873,
1888.0,11.0,15.0,36.74402,-100.529873,
1888.0,11.0,15.0,36.74402,-100.529873,
1888.0,11.0,15.0,36.74402,-100.529873,
1888.0,11.0,15.0,36.74402,-100.529873,
1888.0,11.0,15.0,36.74402,-100.529873,
1888.0,11.0,15.0,36.74402,-100.529873,
1888.0,11.0,15.0,36.74402,-100.529873,
1888.0,11.0,15.0,36.74402,-100.529873,
1888.0,11.0,15.0,36.74402,-100.529873,
1888.0,11.0,15.0,35.5765003,-97.4565841,
1888.0,11.0,15.0,36.74402,-100.529873,
1892.0,5.0,15.0,41.4025252,-99.6394295,
1892.0,9.0,10.0,41.4025252,-99.6394295,
1893.0,,,46.5827,-110.0538,
1893.0,,,47.4988,-111.3063,
1894.0,7.0,14.0,45.2877,-108.5807,
1896.0,,,49.883333,-97.25,
1897.0,,,41.9196083,-101.9341986,
1898.0,,,50.503887,4.469936,1.0
1899.0,,,41.899067,-106.201599,
1899.0,,,42.963354,-107.555518,2.0
1899.0,,,42.963354,-107.555518,1.0
1900.0,10.0,18.0,44.383333,-107.166667,
1907.0,,,44.8294,-106.9864,
1907.0,,,44.8294,-106.9864,
1907.0,,,44.8294,-106.9864,
1907.0,,,44.8294,-106.9864,
1909.0,9.0,24.0,39.74861,-104.94722,
1909.0,,,40.988326,-102.264352,
1910.0,1.0,,44.35458,-100.374008,
1915.0,1.0,6.0,37.57188,-120.4247,
1916.0,5.0,14.0,21.76667,82.9,
1916.0,10.0,15.0,37.7694188,-122.4822093,
1916.0,10.0,31.0,37.7696567,-122.4976236,
1916.0,,,41.264633,-89.22908,
1917.0,1.0,1.0,43.365353,-72.173424,
1917.0,1.0,2.0,43.365353,-72.173424,
1917.0,1.0,2.0,43.365353,-72.173424,
1917.0,1.0,1.0,43.365353,-72.173424,
