Year,Population
1800,60000000.0
1801,59750000.0
1802,59500000.0
1803,59250000.0
1804,59000000.0
1805,58750000.0
1806,58500000.0
1807,58250000.0
1808,58000000.0
1809,57750000.0
1810,57500000.0
1811,57250000.0
1812,57000000.0
1813,56750000.0
1814,56500000.0
1815,56250000.0
1816,56000000.0
1817,55750000.0
1818,55500000.0
1819,55250000.0
1820,55000000.0
1821,54750000.0
1822,54500000.0
1823,54250000.0
1824,54000000.0
1825,53750000.0
1826,53500000.0
1827,53250000.0
1828,53000000.0
1829,52750000.0
1830,52500000.0
1831,52250000.0
1832,52000000.0
1833,51750000.0
1834,51500000.0
1835,51250000.0
1836,51000000.0
1837,50750000.0
1838,50500000.0
1839,50250000.0
1840,50000000.0
1841,49750000.0
1842,49500000.0
1843,49250000.0
1844,49000000.0
1845,48750000.0
1846,48500000.0
1847,48250000.0
1848,48000000.0
1849,47750000.0
1850,47500000.0
1851,47250000.0
1852,47000000.0
1853,46750000.0
1854,46500000.0
1855,46250000.0
1856,46000000.0
1857,45750000.0
1858,45500000.0
1859,45250000.0
1860,45000000.0
1861,27478338.280352063
1862,16779090.547765817
1863,10245811.691292597
1864,6256397.324669425
1865,3820342.268967914
1866,2332814.604742846
1867,1424485.974543772
1868,869833.4996473498
1869,531146.2033531639
1870,324333.66782362026
1871,198047.78311477284
1872,120933.86622447826
1873,73845.81523704574
1874,45092.45092604267
1875,27534.791565243875
1876,16813.562602416805
1877,10266.861353046348
1878,6269.250874144011
1879,3828.19102853605
1880,2337.6072907538314
1881,1427.412531154468
1882,871.6205421483577
1883,532.2374246501428
1884,325.00000000000017
1885,300.14486386456974
1886,277.07792260645886
1887,255.68729423594473
1888,235.8655682424932
1889,217.51003830219852
1890,200.52284820886837
1891,184.81106382943526
1892,170.2866828222095
1893,156.86659274123207
1894,144.47248702671175
1895,133.03074728403385
1896,122.4722992063755
1897,112.7324485149659
1898,103.75070238657212
1899,95.47058101498808
1900,87.83942321350023
1901,80.8081893070251
1902,74.33126398242797
1903,68.36626125866249
1904,62.87383329924363
1905,57.81748441219146
1906,53.163391260855164
1907,48.88023003694949
1908,44.93901111895887
1909,41.312921549396606
1910,37.97717550826504
1911,34.90887283290536
1912,32.08686553216295
1913,29.491632161767964
1914,27.105159864809803
1915,24.91083383332418
1916,22.893333911833206
1917,21.038538039029834
1918,19.33343220782538
1919,17.766026615089594
1920,16.325277669252667
1921,229.32894301913348
1922,233.74110886436802
1923,238.2380949504686
1924,242.82152925566172
1925,247.49307090259998
1926,252.2544107502215
1927,257.1072719967031
1928,262.05341079370925
1929,267.0946168721408
1930,272.23271417959506
1931,277.46956152974644
1932,282.80705326386584
1933,288.24711992469787
1934,293.79172894291827
1935,299.4428853364
1936,305.202632422518
1937,311.0730525437265
1938,317.05626780664977
1939,323.1544408349258
1940,329.3697755360519
1941,335.7045178824812
1942,342.16095670722495
1943,348.7414245142204
1944,355.4482983037249
1945,362.2840004130063
1946,369.25099937259824
1947,376.35181077839854
1948,383.58899817988953
1949,390.9651739847646
1950,398.48300038025195
1951,406.14519027142734
1952,413.9545082368147
1953,421.91377150157825
1954,430.02585092861193
1955,438.29367202784135
1956,446.72021598405195
1957,455.30852070356764
1958,464.06168188010673
1959,472.98285408014465
1960,482.0752518481226
1961,491.34215083184284
1962,500.7868889283973
1963,510.41286745097983
1964,520.2235523169429
1965,530.2224752574556
1966,540.4132350491341
1967,550.7994987680155
1968,561.3850030662528
1969,572.1735554719132
1970,583.1690357122691
1971,594.3753970609754
1972,605.7966677095303
1973,617.4369521634259
1974,629.3004326633962
1975,641.39137063218
1976,653.7141081472158
1977,666.2730694396982
1978,679.0727624204233
1979,692.1177802328626
1980,705.4128028339067
1981,718.962598602724
1982,732.7720259781914
1983,746.8460351253514
1984,761.1896696313606
1985,775.8080682313989
1986,790.7064665650126
1987,805.8901989633717
1988,821.3647002679243
1989,837.1355076809406
1990,853.2082626484386
1991,500000.0
1992,500000.0
1993,500000.0
1994,500000.0
1995,500000.0
1996,500000.0
1997,500000.0
1998,500000.0
1999,500000.0
2000,500000.0
2001,500000.0
2002,500000.0
2003,500000.0
2004,500000.0
2005,500000.0
2006,500000.0
2007,500000.0
2008,500000.0
2009,500000.0
2010,500000.0
2011,500000.0
2012,500000.0
2013,500000.0
2014,500000.0
2015,500000.0
2016,500000.0
2017,500000.0
